"","frequency","pct"
"Cause - N/P",1179,0.374880763116057
"No-Cause",805,0.255961844197138
"Unknown",568,0.18060413354531
"Cause - Breach",261,0.0829888712241653
"Other",100,0.0317965023847377
"Foreclosure - Tenant in Possession",64,0.0203497615262321
"Cause - Business Decision",61,0.01939586645469
"Foreclosure - Former Owner",50,0.0158982511923688
"Cause - No Fault (Just Cause)",30,0.0095389507154213
"Verbal Notice",19,0.00604133545310016
"Foreclosure - New Tenancy",8,0.00254372019077901
